확진자수,기준일
2561,20210930
2881,20210929
2288,20210928
2381,20210927
2768,20210926
3270,20210925
2429,20210924
1715,20210923
1720,20210922
1729,20210921
1604,20210920
1909,20210919
2087,20210918
2008,20210917
1942,20210916
2065,20210915
1508,20210914
1433,20210913
1755,20210912
1864,20210911
1893,20210910
2049,20210909
2047,20210908
1597,20210907
1375,20210906
1490,20210905
1803,20210904
1708,20210903
1960,20210902
2024,20210901
1370,20210831
1485,20210830
1619,20210829
1791,20210828
1837,20210827
1882,20210826
2154,20210825
1507,20210824
1417,20210823
1626,20210822
1787,20210821
2140,20210820
2152,20210819
1803,20210818
1372,20210817
1554,20210816
1816,20210815
1928,20210814
1989,20210813
1987,20210812
2221,20210811
1537,20210810
1491,20210809
1727,20210808
1823,20210807
1704,20210806
1775,20210805
1725,20210804
1200,20210803
1218,20210802
1442,20210801
1538,20210731
1710,20210730
1673,20210729
1895,20210728
1363,20210727
1318,20210726
1487,20210725
1627,20210724
1629,20210723
1841,20210722
1781,20210721
1278,20210720
1251,20210719
1453,20210718
1449,20210717
1535,20210716
1599,20210715
1613,20210714
1150,20210713
1100,20210712
1324,20210711
1378,20210710
1316,20210709
1275,20210708
1211,20210707
746,20210706
711,20210705
743,20210704
794,20210703
825,20210702
761,20210701
794,20210630
595,20210629
501,20210628
614,20210627
668,20210626
634,20210625
610,20210624
645,20210623
394,20210622
357,20210621
429,20210620
482,20210619
507,20210618
540,20210617
545,20210616
373,20210615
399,20210614
452,20210613
565,20210612
556,20210611
610,20210610
602,20210609
454,20210608
485,20210607
556,20210606
744,20210605
695,20210604
681,20210603
677,20210602
459,20210601
430,20210531
480,20210530
533,20210529
587,20210528
629,20210527
705,20210526
516,20210525
530,20210524
585,20210523
666,20210522
561,20210521
646,20210520
654,20210519
528,20210518
619,20210517
610,20210516
681,20210515
747,20210514
715,20210513
634,20210512
510,20210511
463,20210510
564,20210509
701,20210508
525,20210507
574,20210506
676,20210505
541,20210504
488,20210503
606,20210502
627,20210501
661,20210430
679,20210429
769,20210428
512,20210427
499,20210426
644,20210425
785,20210424
797,20210423
735,20210422
731,20210421
549,20210420
532,20210419
671,20210418
658,20210417
673,20210416
698,20210415
731,20210414
542,20210413
587,20210412
614,20210411
677,20210410
671,20210409
700,20210408
668,20210407
477,20210406
473,20210405
543,20210404
543,20210403
557,20210402
551,20210401
506,20210331
447,20210330
382,20210329
482,20210328
505,20210327
489,20210326
430,20210325
428,20210324
346,20210323
415,20210322
456,20210321
447,20210320
463,20210319
445,20210318
469,20210317
363,20210316
379,20210315
459,20210314
490,20210313
488,20210312
465,20210311
470,20210310
446,20210309
346,20210308
416,20210307
418,20210306
398,20210305
424,20210304
444,20210303
344,20210302
355,20210301
355,20210228
415,20210227
387,20210226
395,20210225
440,20210224
356,20210223
332,20210222
416,20210221
448,20210220
561,20210219
621,20210218
621,20210217
457,20210216
343,20210215
326,20210214
362,20210213
403,20210212
504,20210211
444,20210210
303,20210209
288,20210208
371,20210207
390,20210206
370,20210205
451,20210204
467,20210203
336,20210202
305,20210201
354,20210131
456,20210130
469,20210129
497,20210128
559,20210127
349,20210126
437,20210125
392,20210124
431,20210123
346,20210122
400,20210121
404,20210120
386,20210119
389,20210118
520,20210117
580,20210116
512,20210115
524,20210114
561,20210113
537,20210112
451,20210111
657,20210110
641,20210109
674,20210108
869,20210107
838,20210106
714,20210105
1020,20210104
657,20210103
820,20210102
1027,20210101
967,20201231
1050,20201230
1044,20201229
806,20201228
970,20201227
1131,20201226
1240,20201225
985,20201224
1090,20201223
866,20201222
924,20201221
1096,20201220
1045,20201219
1064,20201218
1014,20201217
1078,20201216
880,20201215
718,20201214
1030,20201213
950,20201212
689,20201211
680,20201210
670,20201209
587,20201208
615,20201207
631,20201206
577,20201205
628,20201204
540,20201203
511,20201202
451,20201201
438,20201130
450,20201129
503,20201128
555,20201127
581,20201126
382,20201125
349,20201124
271,20201123
330,20201122
386,20201121
348,20201120
325,20201119
285,20201118
230,20201117
222,20201116
208,20201115
205,20201114
191,20201113
143,20201112
145,20201111
100,20201110
126,20201109
143,20201108
89,20201107
145,20201106
125,20201105
117,20201104
75,20201103
97,20201102
124,20201101
127,20201031
113,20201030
125,20201029
103,20201028
88,20201027
119,20201026
61,20201025
77,20201024
155,20201023
121,20201022
89,20201021
58,20201020
76,20201019
91,20201018
73,20201017
47,20201016
110,20201015
84,20201014
91,20201013
98,20201012
58,20201011
72,20201010
54,20201009
69,20201008
114,20201007
75,20201006
73,20201005
64,20201004
75,20201003
63,20201002
77,20201001
113,20200930
38,20200929
50,20200928
95,20200927
61,20200926
114,20200925
125,20200924
110,20200923
61,20200922
70,20200921
82,20200920
110,20200919
126,20200918
153,20200917
113,20200916
106,20200915
109,20200914
121,20200913
136,20200912
176,20200911
155,20200910
156,20200909
136,20200908
119,20200907
167,20200906
168,20200905
198,20200904
195,20200903
267,20200902
235,20200901
248,20200831
299,20200830
323,20200829
371,20200828
441,20200827
320,20200826
280,20200825
266,20200824
396,20200823
332,20200822
324,20200821
288,20200820
297,20200819
246,20200818
197,20200817
279,20200816
166,20200815
103,20200814
56,20200813
54,20200812
34,20200811
28,20200810
36,20200809
43,20200808
20,20200807
43,20200806
33,20200805
34,20200804
23,20200803
30,20200802
31,20200801
36,20200731
18,20200730
48,20200729
28,20200728
25,20200727
58,20200726
113,20200725
41,20200724
59,20200723
63,20200722
45,20200721
26,20200720
34,20200719
39,20200718
60,20200717
61,20200716
39,20200715
33,20200714
62,20200713
44,20200712
35,20200711
45,20200710
50,20200709
62,20200708
44,20200707
48,20200706
61,20200705
63,20200704
61,20200703
54,20200702
51,20200701
42,20200630
42,20200629
62,20200628
51,20200627
39,20200626
28,20200625
51,20200624
46,20200623
17,20200622
48,20200621
67,20200620
49,20200619
59,20200618
43,20200617
34,20200616
37,20200615
34,20200614
48,20200613
56,20200612
45,20200611
50,20200610
38,20200609
37,20200608
57,20200607
51,20200606
39,20200605
39,20200604
49,20200603
38,20200602
35,20200601
27,20200531
39,20200530
58,20200529
79,20200528
